Company,Description,Industry,Location,URL
日盛国際株式会社,"
                  日中間ビジネスに関するコンサルティングなどを行う会社
                ",専門サービス業界の会社,"
                  本社住所: 東京都台東区浅草橋１丁目９番１２号－９階
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/b66eba78-3c15-411d-af6f-04465d21b985
株式会社富士オリエンタルヴアンライン,"
                  通関業務や港湾運送を行う会社
                ",運輸・物流業界の会社,"
                  本社住所: 兵庫県神戸市灘区摩耶埠頭
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/d84afc93-dcb1-4fa4-9378-2d71f65b2ad9
株式会社エム・ワン・エンタープライズ,"
                  ソフトウェア受託開発やを法人向け人材研修を行う会社
                ",人材業界の会社,"
                  本社住所: 福岡県福岡市博多区対馬小路１３番２６号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/24a1e9ed-4e60-4424-8167-81c892ce7c93
日本マート株式会社,"
                  中国からの繊維材料・繊維製品の輸入販売を行う会社
                ",商社業界の会社,"
                  本社住所: 大阪府大阪市中央区北久宝寺町２丁目１番７号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/2e47e717-bf48-41a7-ad63-7d1b34353f26
株式会社エムズ・インダストリーズ,"
                  webショップの運営とコンサルティングを行っている会社
                ",生活用品業界の会社,"
                  本社住所: 東京都墨田区千歳１丁目８番２０号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/b517fd31-daf6-48cc-ba0a-12ab2ebe55aa
星岡商事株式会社,"
                  日用雑貨やベビー用品から医薬品までの卸売および輸出入貿易代行を行う会社
                ",商社業界の会社,"
                  本社住所: 福岡県福岡市博多区上呉服町１１－１６
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/1c024a4b-cafb-4695-9b36-f71042c677bb
藤光汽船有限会社,"
                  「豊川丸」などの自動車運搬船の運行を行う会社
                ",運輸・物流業界の会社,"
                  本社住所: 広島県福山市松永町５丁目２３番２５号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/b51c5c69-0043-43b0-9fe4-f76569a7c35d
ワールドシッピング株式会社,"
                  貿易・通関や輸出入事務の代理および業務代行をする会社
                ",商社業界の会社,"
                  本社住所: 大阪府大阪市西区西本町１丁目２番１４号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/b7cdc6e1-29f2-47c1-955f-e401b645a11d
三金商事株式会社,"
                  アフターカーパーツの製造および卸売を行っている会社
                ",電気製品業界の会社,"
                  本社住所: 大分県大分市碩田町３丁目１番３５号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/c661ed67-949c-4960-8e1d-901ec4e5078f
南洋貿易株式会社,"
                  太平洋地域のODAにおけるインフラ整備と設備輸出を行っている会社
                ",商社業界の会社,"
                  本社住所: 東京都千代田区麹町１丁目８番７号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/30f2d2eb-a8af-4ba0-90f9-30f452b1141d
株式会社ＲＳＫ,"
                  外貨両替などを行う会社
                ",金融業界の会社,"
                  本社住所: 東京都港区東新橋１丁目９番２号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/3318056f-5488-441c-98f3-10ac2bf8bc3e
